state_fips,state_abbreviation,year,actual_compliance,predicted_compliance
15,HI,2023,0.0,0.18262448712467003
15,HI,2024,0.20905923344947708,0.12557010555811052
16,ID,2010,23.8701464035646,
16,ID,2011,27.714646464646457,
16,ID,2012,19.674185463659143,
16,ID,2013,18.796526054590554,
16,ID,2014,21.323529411764696,
16,ID,2015,18.644067796610166,
16,ID,2016,11.995249406175768,
16,ID,2017,13.546511627906973,
16,ID,2018,11.07305936073059,
16,ID,2019,9.05533817775293,9.772441016004851
16,ID,2020,8.49107625743645,7.6577239180873615
16,ID,2021,6.351706036745403,8.44916492978988
16,ID,2022,6.02161605764282,8.095788523851425
16,ID,2023,12.944162436548218,8.389075325746653
16,ID,2024,13.093453273363313,8.060160923606775
17,IL,2010,3.3720115255821077,
17,IL,2011,2.004973577867567,
17,IL,2012,1.1643250795622115,
17,IL,2013,1.3725186104218297,
17,IL,2014,1.9091967403958021,
17,IL,2015,1.8895800933125955,
17,IL,2016,0.9358914365933532,
17,IL,2017,0.7433489827855986,
17,IL,2018,0.872298624754417,
17,IL,2019,1.0341833109655008,1.083814450310169
17,IL,2020,0.687768659632667,1.0877977603920228
17,IL,2021,2.298669605604958,0.9935269596733353
17,IL,2022,1.4908802537668473,0.9982607998246542
17,IL,2023,1.401092377107574,1.0624631418495372
17,IL,2024,3.817995749035627,1.2521954027954658
18,IN,2010,6.470497612078249,
18,IN,2011,5.539358600583089,
18,IN,2012,5.643064688790319,
18,IN,2013,6.148227058286399,
18,IN,2014,6.109763493026051,
18,IN,2015,6.9429738314929565,
18,IN,2016,3.931907200964136,
18,IN,2017,3.0321224857400173,
18,IN,2018,3.5682293221857107,
18,IN,2019,3.981577774476287,3.2291739650245055
18,IN,2020,5.670103092783482,3.135535959787382
18,IN,2021,4.255943645435867,4.0042738222355965
18,IN,2022,4.195293085806169,3.7408449759835154
18,IN,2023,4.4760935910477935,3.4382921154207113
18,IN,2024,5.839942321557286,3.6482730011975364
19,IA,2010,10.619469026548666,
19,IA,2011,7.303553961525919,
19,IA,2012,5.947351316217085,
19,IA,2013,6.593406593406586,
19,IA,2014,5.946640951462549,
19,IA,2015,6.532180595581165,
19,IA,2016,3.6067666773060933,
19,IA,2017,3.1488549618320594,
19,IA,2018,2.7619047619047596,
19,IA,2019,2.373417721518985,1.8013530871764902
19,IA,2020,2.193669696020055,1.6363643542614799
19,IA,2021,2.68834010628321,2.1512474697629456
19,IA,2022,2.1549031855090557,2.2261688424509374
19,IA,2023,2.4261275272161726,2.030124334307049
19,IA,2024,1.8885448916408656,2.31619358047511
20,KS,2010,11.546536039188235,
20,KS,2011,9.094076655052257,
20,KS,2012,7.449757449757447,
20,KS,2013,7.53282653766413,
20,KS,2014,8.13232253618194,
20,KS,2015,9.893507385778076,
20,KS,2016,7.9986268451767915,
20,KS,2017,6.423909309515626,
20,KS,2018,5.320974939924475,
20,KS,2019,7.758324751115685,5.090713382651394
20,KS,2020,6.977535738597683,5.264264477237608
20,KS,2021,6.294658046954744,5.1456579586177975
