state_fips,state_name,year,actual_saidi,predicted_saidi,actual_saifi,predicted_saifi
05,Arkansas,2014,235.12598920897742,,1.7928459833876798,
05,Arkansas,2015,306.7377133496985,,1.9815322967213398,
05,Arkansas,2016,397.33417560297835,,2.0329517890369897,
05,Arkansas,2017,395.4337017496095,,2.045697089506903,
05,Arkansas,2018,322.87994969113004,,1.7707283541970282,
05,Arkansas,2019,437.7143584313132,401.5886756945207,1.9339914614254912,1.842180032785274
05,Arkansas,2020,708.4399618963339,409.64842749139797,1.8328523542997441,1.884789747472388
05,Arkansas,2021,315.89988370299034,457.75537744724335,1.6579592286240767,1.8263982218035086
05,Arkansas,2022,415.53505837795365,482.89983088248397,2.11026610901656,1.850190439773018
05,Arkansas,2023,911.2385574105904,508.478636895713,2.1023152214476166,1.9730649873917683
05,Arkansas,2024,509.07169765826217,515.0975377645667,2.1275760561353723,1.9963065146519239
06,California,2013,98.94852332224741,,0.8325785820573407,
06,California,2014,108.80178868567953,,0.9114256218800207,
06,California,2015,118.36214961658214,,0.9249704805302409,
06,California,2016,117.06260723035324,,1.0267744492403912,
06,California,2017,233.44379393451516,,1.2841212853967965,
06,California,2018,195.21543955951245,,0.9545930329793818,
06,California,2019,587.5750513873991,243.7137525495432,1.261246824269472,1.1970884373246327
06,California,2020,267.0754027722461,256.49879354222963,1.0772032301171162,1.0946888399575214
06,California,2021,325.21908027112084,309.5488866838365,1.3093006959155178,1.1390017566275559
06,California,2022,198.50223447265842,300.33349640709974,1.2476880536513468,1.2176845952907895
06,California,2023,346.5726581805323,289.89519420213657,1.397105081013725,1.1859380540100264
06,California,2024,279.640706666216,312.0799087295813,1.3446809999525509,1.2581335669738891
08,Colorado,2013,128.99623228861435,,1.086781141680387,
08,Colorado,2014,84.03886129352281,,0.9265546029938866,
08,Colorado,2015,110.059592412814,,1.0110439589716858,
08,Colorado,2016,165.45878197569897,,1.1550532212762261,
08,Colorado,2017,228.51386179390394,,1.193138446152468,
08,Colorado,2018,113.28599665017772,,0.9730758201162507,
08,Colorado,2019,180.52829810146682,166.23851331070765,1.0789994037771438,1.0350487636978207
08,Colorado,2020,134.20774290448682,194.20191233306977,0.9981139883536563,1.058967645562404
08,Colorado,2021,180.90345031917798,213.33360583121296,1.1029714439382226,1.0645485656340086
08,Colorado,2022,141.5320402681416,238.0802728370512,1.0313252712243712,1.0654040837470806
08,Colorado,2023,99.15140962676688,226.82915518351237,0.9154267049229039,1.0671181162526941
08,Colorado,2024,255.0533508573595,200.7322893283659,1.40881180316245,1.0037119919409963
09,Connecticut,2013,179.60753690813027,,0.9308053157380924,
09,Connecticut,2014,86.29502518978309,,0.7421273085005385,
09,Connecticut,2015,103.31455971509281,,0.700194712485833,
09,Connecticut,2016,174.04556590022457,,1.0626797073144763,
09,Connecticut,2017,291.3296094098203,,0.9469488733415726,
09,Connecticut,2018,655.5375747485391,,1.2546832681903155,
09,Connecticut,2019,236.36419934959815,312.20299952901536,0.971349696162426,1.1107725475317336
09,Connecticut,2020,2642.6328790395414,301.7577588686368,1.8270305833227662,1.088986528358689
09,Connecticut,2021,145.2269522911276,302.5991223256304,0.8953460788148134,1.1556567640755102
09,Connecticut,2022,157.40326124729847,330.8589470584598,0.8205168711683517,1.098406500486856
09,Connecticut,2023,164.64397615334147,314.34224014983823,0.8718820415177247,0.9844633418836082
09,Connecticut,2024,153.64120345932508,250.67928931307878,0.8755382875637482,0.9995360767762659
10,Delaware,2013,157.71532108984627,,1.4600155689431713,
10,Delaware,2014,169.05767049681324,,1.4154359681926934,
10,Delaware,2015,189.9048015604076,,1.52150436760669,
10,Delaware,2016,149.09695839406336,,1.3500675235213278,
