state_fips,state_abbreviation,year,actual_drought,predicted_drought
12,FL,2023,16.248977963120947,16.61562358284846
12,FL,2024,7.634469275522013,7.66517063901042
13,GA,2010,12.590195581109231,
13,GA,2011,56.683342679743085,
13,GA,2012,56.80715977094876,
13,GA,2013,13.055872146548088,
13,GA,2014,5.874451131850232,
13,GA,2015,7.560240038872934,
13,GA,2016,24.287033696205576,
13,GA,2017,15.235099776501244,
13,GA,2018,11.040209525908649,
13,GA,2019,14.368641877818032,14.151131516192146
13,GA,2020,2.587367910226652,2.7880106812890144
13,GA,2021,2.3739350260267624,2.7416993605695863
13,GA,2022,13.119727834375443,13.004271836287858
13,GA,2023,7.9846124561395815,8.420677046068743
13,GA,2024,8.657011634583386,8.972378067327329
15,HI,2010,43.18781415940143,
15,HI,2011,25.110104491939314,
15,HI,2012,33.03924848352902,
15,HI,2013,29.444985643948737,
15,HI,2014,8.785857461607742,
15,HI,2015,14.879800268620945,
15,HI,2016,19.324585783209994,
15,HI,2017,21.085043518324344,
15,HI,2018,6.09430790046032,
15,HI,2019,18.433141295693723,17.88863695780142
15,HI,2020,15.747482606637906,15.530784680976005
15,HI,2021,19.3819454764098,19.268338141252475
15,HI,2022,29.131309578666617,28.355527780253375
15,HI,2023,20.793917973036645,20.269032526488818
15,HI,2024,18.662969921061794,18.03254999304158
16,ID,2010,14.987882779184378,
16,ID,2011,0.34923772408194687,
16,ID,2012,14.963227912662964,
16,ID,2013,32.457841397548826,
16,ID,2014,30.875792517651405,
16,ID,2015,39.20429523241309,
16,ID,2016,11.994299156122777,
16,ID,2017,4.139812789530387,
16,ID,2018,13.735399869449553,
16,ID,2019,6.4851968495874,7.32487725101941
16,ID,2020,13.22290966368059,13.586634214828734
16,ID,2021,48.05904154291817,46.87883512439521
16,ID,2022,39.37605292932035,38.85919855579042
16,ID,2023,19.118925177415854,19.692140001846845
16,ID,2024,22.258388014018937,22.049316230329808
17,IL,2010,2.889355236674697,
17,IL,2011,6.367138016221549,
17,IL,2012,27.19656728324697,
17,IL,2013,12.13221423889348,
17,IL,2014,3.292674550762724,
17,IL,2015,2.4330918539230857,
17,IL,2016,2.019351790212119,
17,IL,2017,7.8257709754412215,
17,IL,2018,4.127390845913565,
17,IL,2019,1.8628892018083782,1.958318319014545
17,IL,2020,5.271362749791387,5.119760751838977
17,IL,2021,6.419855800085281,6.822200304010588
17,IL,2022,10.609376790755285,10.420576404456986
17,IL,2023,16.65005506380674,16.541496568478067
17,IL,2024,12.543271641024514,12.681439590096236
18,IN,2010,11.265661009133627,
18,IN,2011,8.405913570388156,
18,IN,2012,22.57374117628718,
18,IN,2013,4.137987465058752,
18,IN,2014,0.43667465258984806,
18,IN,2015,5.224567131841334,
18,IN,2016,3.1733538570747646,
18,IN,2017,2.3569488758647044,
18,IN,2018,0.913020055844445,
18,IN,2019,3.4291261751400945,3.4084324230755434
18,IN,2020,8.035991160995097,7.878149090344845
18,IN,2021,4.958229524362214,5.484155535026617
18,IN,2022,10.324950192525344,9.723567069885691
18,IN,2023,16.010147114979823,15.92590556570795
18,IN,2024,14.59299893771118,14.967233718254134
19,IA,2010,0.0,
19,IA,2011,9.87612628300204,
19,IA,2012,41.655228973891894,
19,IA,2013,32.18333220776707,
19,IA,2014,11.910915217401811,
19,IA,2015,2.378903486599391,
19,IA,2016,2.427469009745251,
19,IA,2017,8.930445520763593,
19,IA,2018,6.410016182507994,
19,IA,2019,1.4862428035457502,1.6294836214604596
19,IA,2020,14.391488281089075,13.882920119409677
19,IA,2021,23.008210114181093,22.878910610526322
19,IA,2022,23.567348546422295,22.97821982863366
19,IA,2023,40.13586282234182,39.08078590619826
19,IA,2024,27.415544535760567,27.328952641676302
20,KS,2010,3.3093799043524794,
20,KS,2011,37.48661880313146,
20,KS,2012,53.51798192248619,
20,KS,2013,54.722022586363245,
20,KS,2014,42.09034665010132,
20,KS,2015,16.675353074129006,
20,KS,2016,6.153449816660826,
20,KS,2017,11.866513286847917,
20,KS,2018,28.878359376356855,
20,KS,2019,3.7932085029857854,4.3197525196473405
20,KS,2020,17.03286314190596,16.68091378735585
20,KS,2021,13.098724437905856,13.749623231653905
20,KS,2022,48.75482931880561,47.56066683492073
20,KS,2023,54.55284601740122,54.7582772830731
20,KS,2024,25.034170082935255,25.203644433842157
21,KY,2010,10.695900188656822,
21,KY,2011,5.1176561205851945,
21,KY,2012,15.356297090418595,
21,KY,2013,0.3228717956226939,
21,KY,2014,2.580199077678917,
21,KY,2015,5.566722568457664,
21,KY,2016,10.135107206135366,
21,KY,2017,0.7997579388402614,
21,KY,2018,0.4087343486249261,
21,KY,2019,5.024510307432881,4.9593372042908905
21,KY,2020,0.7782592911421068,0.8827491807684859
21,KY,2021,0.5351150977764486,1.1163511284406797
21,KY,2022,11.50818797142935,11.189840214131992
21,KY,2023,9.261267419764682,9.277657316717569
21,KY,2024,9.001458360519106,9.84365408284422
22,LA,2010,27.446989607421205,
22,LA,2011,61.943677912359625,
22,LA,2012,14.261071705523817,
22,LA,2013,9.974406162215352,
22,LA,2014,7.035228486329792,
22,LA,2015,13.840190010146442,
22,LA,2016,10.684151449146132,
22,LA,2017,8.515189889762436,
22,LA,2018,11.281723823959332,
22,LA,2019,4.253552890395782,4.421691678846983
22,LA,2020,3.8893077096713693,4.3729522052694785
22,LA,2021,5.011179623257615,5.044760637144947
22,LA,2022,32.50548800532019,31.836497488216768
22,LA,2023,37.40559862055907,36.39422238822982
22,LA,2024,12.637372210548396,13.892253258254769
23,ME,2010,2.886140502833016,
23,ME,2011,0.33942580067775263,
23,ME,2012,5.890521442227333,
23,ME,2013,1.570022061392042,
23,ME,2014,1.8082878081965474,
23,ME,2015,6.101604201438297,
23,ME,2016,14.129673673891983,
23,ME,2017,9.768961820739225,
23,ME,2018,4.865213840260928,
23,ME,2019,0.3896264056880842,0.7280787394803506
23,ME,2020,19.52352228663187,19.035369483520174
23,ME,2021,12.86676254182563,12.85322946033605
23,ME,2022,8.774856008112337,8.991762096672609
23,ME,2023,1.012672823801821,1.221151156527505
23,ME,2024,8.209513839257701,7.726399556879591
24,MD,2010,7.839488679236827,
24,MD,2011,8.577192902797842,
24,MD,2012,15.370743935207532,
24,MD,2013,1.3496250804646786,
24,MD,2014,1.5210525816767608,
24,MD,2015,1.8906121342204487,
24,MD,2016,5.2947970717475465,
24,MD,2017,9.36099309522422,
24,MD,2018,5.522002569134058,
24,MD,2019,4.486756970589197,4.5217683366686385
24,MD,2020,1.5353249953282933,2.035303618297196
24,MD,2021,2.121769040222543,2.166997846625579
24,MD,2022,4.908788403080535,5.724511765050767
24,MD,2023,14.11063120299298,14.116944393989282
24,MD,2024,18.86277162115205,17.906825921033363
25,MA,2010,4.100446116865803,
25,MA,2011,0.0005390758207501226,
25,MA,2012,13.41923424260587,
25,MA,2013,8.587427217270228,
25,MA,2014,6.359891317716892,
25,MA,2015,12.412214510589443,
25,MA,2016,34.67707983183124,
25,MA,2017,15.216113169880373,
25,MA,2018,2.812394485944191,
25,MA,2019,1.4078224770041785,1.5652164628128937
25,MA,2020,19.232062693008565,18.863298027826747
25,MA,2021,3.016200518513043,3.3331232119678726
25,MA,2022,21.42098547238895,20.619842637537552
25,MA,2023,1.9187639577625197,2.4029175507150238
25,MA,2024,12.29383607496214,11.335593816971251
26,MI,2010,11.031431439370653,
26,MI,2011,5.004382988044359,
26,MI,2012,11.051170731923001,
26,MI,2013,3.2849091315876944,
26,MI,2014,0.24849731014640974,
26,MI,2015,6.696543474335016,
26,MI,2016,2.981675241519046,
26,MI,2017,1.4252889687199182,
26,MI,2018,3.7891900297829952,
26,MI,2019,1.722511720776588,1.8144745022002644
26,MI,2020,2.716561957409235,2.670106067587047
26,MI,2021,13.958631541760125,13.77599926687815
26,MI,2022,8.222673520768602,8.192070841451674
26,MI,2023,10.89683024160787,10.973579726557595
26,MI,2024,15.98292339319688,15.438311450582976
27,MN,2010,5.973152934179837,
27,MN,2011,9.720444919210689,
27,MN,2012,36.918541988091256,
27,MN,2013,29.27647487549538,
27,MN,2014,7.672247257651019,
27,MN,2015,13.569826757588357,
27,MN,2016,1.6188280574625813,
27,MN,2017,3.3196895367048387,
27,MN,2018,4.153235870296083,
27,MN,2019,0.6966885987319238,0.8395927638035666
27,MN,2020,7.8924475997093415,7.411008072614546
27,MN,2021,34.04212869957676,33.34878017436342
27,MN,2022,15.160923082320217,15.060186038500206
27,MN,2023,27.4201196906616,26.73666944269973
27,MN,2024,20.735614062931926,20.199615400732377
28,MS,2010,15.151486199425316,
28,MS,2011,22.402609638649245,
28,MS,2012,6.6796221235217095,
28,MS,2013,5.814028127054047,
28,MS,2014,4.262465210866787,
28,MS,2015,10.074038465999934,
28,MS,2016,19.840099702072887,
28,MS,2017,11.413115460848276,
28,MS,2018,5.574609670546318,
28,MS,2019,2.2195232060363685,2.5302395674822
28,MS,2020,2.7887921935113025,2.8690138827689777
28,MS,2021,3.277229785591229,3.438662273519859
28,MS,2022,18.701415070377603,18.43580421373492
28,MS,2023,26.765465557961843,25.560893631030652
28,MS,2024,19.527089256829697,20.45781820298006
29,MO,2010,3.416182163324221,
29,MO,2011,10.103575516231858,
29,MO,2012,33.813607455536676,
29,MO,2013,16.623792945776987,
29,MO,2014,9.369432903913737,
29,MO,2015,3.9154407929981376,
29,MO,2016,5.289480179007618,
29,MO,2017,15.867586122650462,
29,MO,2018,20.5321090671977,
29,MO,2019,0.30014039884476085,0.8167016919266705
29,MO,2020,4.407331376383926,4.4101703395769025
29,MO,2021,2.9570932856701573,3.536100199962516
29,MO,2022,16.09144577238206,15.866303134066035
29,MO,2023,26.58416487510726,25.983795557502805
29,MO,2024,16.726880243001503,17.170953313062736
30,MT,2010,7.113411638819982,
30,MT,2011,0.5088796258689452,
30,MT,2012,15.853938172775193,
30,MT,2013,13.503603830601234,
30,MT,2014,1.3249744896880908,
30,MT,2015,15.60256041371645,
30,MT,2016,11.391688444297396,
30,MT,2017,24.823591722567507,
30,MT,2018,7.914541567199672,
30,MT,2019,1.9229151555380442,2.693961366374573
30,MT,2020,12.322190249240824,12.293250694591269
30,MT,2021,54.32761133816551,52.87370879346277
30,MT,2022,45.18302978816215,45.158350890117404
30,MT,2023,22.323225306409107,22.68879939441155
30,MT,2024,32.112117639411,31.341940268885676
31,NE,2010,2.318282004227915,
31,NE,2011,6.6288606281924185,
31,NE,2012,48.759486840672515,
31,NE,2013,63.75912279684637,
31,NE,2014,18.62539773718011,
31,NE,2015,5.723589275984427,
31,NE,2016,4.663709925296515,
31,NE,2017,9.104277143647192,
31,NE,2018,3.8145882505202584,
31,NE,2019,0.3866239364452125,1.0666920179168087
31,NE,2020,20.017619932530774,19.371094798376934
31,NE,2021,26.844670598295565,27.47990023873751
31,NE,2022,52.168022062883715,50.94701252195257
31,NE,2023,46.08083910344778,46.7192592595357
31,NE,2024,21.06209355751815,20.942400046563083
32,NV,2010,23.054514807043624,
32,NV,2011,1.5584172871991977,
32,NV,2012,51.18868327377402,
32,NV,2013,58.389470734835676,
32,NV,2014,66.17269838222245,
32,NV,2015,65.56639449725225,
32,NV,2016,32.71529772526765,
32,NV,2017,2.7230094729945766,
32,NV,2018,25.27027016424978,
32,NV,2019,9.01111876094411,10.337773027268147
32,NV,2020,40.78340098461451,39.41047237934522
32,NV,2021,79.00556557895236,78.78342682146894
32,NV,2022,69.32632265768315,68.64426969510204
32,NV,2023,18.22761763399817,19.635352605873344
32,NV,2024,12.946932643340885,13.216416239110206
33,NH,2010,2.8814348693232557,
33,NH,2011,0.7360130692858271,
33,NH,2012,7.1878597699014355,
33,NH,2013,5.8768276288673285,
33,NH,2014,3.338240207540494,
33,NH,2015,10.030688072600622,
33,NH,2016,24.071821974461542,
33,NH,2017,12.985324147443096,
33,NH,2018,5.173229990730631,
33,NH,2019,1.7795153886251023,2.0086061209583033
33,NH,2020,21.978092180125962,21.225819694326148
33,NH,2021,13.047082233553153,13.135574111864628
33,NH,2022,13.282142572881906,13.019937024322171
33,NH,2023,0.5011459969382153,0.9064821230447867
33,NH,2024,9.225155636926084,8.486631339461749
34,NJ,2010,9.904693049614005,
34,NJ,2011,0.560617945114965,
34,NJ,2012,7.970335442076912,
34,NJ,2013,3.8439010747600815,
34,NJ,2014,2.349511080925628,
34,NJ,2015,7.53980942643477,
34,NJ,2016,16.697752228896757,
34,NJ,2017,8.647763150421286,
34,NJ,2018,1.0492875949969893,
34,NJ,2019,2.4743625037768746,2.5075278612926164
34,NJ,2020,0.7784224277945614,1.2270239026988075
34,NJ,2021,0.9159149324892168,1.144751502944154
34,NJ,2022,12.525191665444178,12.564515192712204
34,NJ,2023,5.782556393982286,6.205491629484764
34,NJ,2024,17.789043955651156,16.556611926174682
35,NM,2010,8.164246347363074,
35,NM,2011,64.94203634094042,
35,NM,2012,57.54654226306086,
35,NM,2013,64.91224590161318,
35,NM,2014,49.671175844795016,
35,NM,2015,19.972247060902074,
35,NM,2016,15.381173172359205,
35,NM,2017,6.11469738329452,
35,NM,2018,58.23722741121192,
35,NM,2019,19.299801574554618,20.35056952402038
35,NM,2020,44.237182397994744,43.00103134012623
35,NM,2021,68.54447524257822,68.47661822749686
35,NM,2022,58.06240459616559,57.91427290638488
35,NM,2023,37.79666519418225,37.29607607353819
35,NM,2024,38.34242821907121,39.01626225935628
36,NY,2010,2.530649168029326,
36,NY,2011,1.826767800662888,
36,NY,2012,8.980152955838628,
36,NY,2013,3.427702714523425,
36,NY,2014,2.1379090899121653,
36,NY,2015,8.533941421088825,
36,NY,2016,21.27568601743311,
36,NY,2017,5.115858755702879,
36,NY,2018,4.742964816536781,
36,NY,2019,0.7623419396812054,0.9828972242917695
36,NY,2020,9.849607735556084,9.688973609210219
36,NY,2021,6.956531435783363,7.345495377045759
36,NY,2022,4.846755688707059,4.997538037170809
36,NY,2023,4.783511739065665,4.95942475894309
36,NY,2024,6.049689726594121,5.908039934646655
37,NC,2010,9.716908366729495,
37,NC,2011,21.856363669491845,
37,NC,2012,15.854890777667425,
37,NC,2013,6.8288927268869015,
37,NC,2014,3.014719735441647,
37,NC,2015,7.549027993535789,
37,NC,2016,8.266247507687062,
37,NC,2017,10.274686813074142,
37,NC,2018,4.097304251097167,
37,NC,2019,5.6072782499065195,5.500485442593433
37,NC,2020,0.33558392250552427,0.5769680144247789
37,NC,2021,10.638493716340268,9.694467110296127
37,NC,2022,14.985309655280757,15.519123807535372
37,NC,2023,10.737648956997624,10.949387756871534
37,NC,2024,11.365290237900378,11.167793835073192
38,ND,2010,0.20608501270039675,
38,ND,2011,1.77626177887865,
38,ND,2012,26.387499116104216,
38,ND,2013,12.190885346760236,
38,ND,2014,1.9763368623175335,
38,ND,2015,9.78857850819705,
38,ND,2016,6.5323351355708805,
38,ND,2017,24.301213577750346,
38,ND,2018,21.988002037409988,
38,ND,2019,3.408073739895363,3.993564394061213
38,ND,2020,17.99389205063313,16.818209306760473
38,ND,2021,61.70151473785586,60.73049470592595
38,ND,2022,22.27669537920364,21.94158198002005
38,ND,2023,19.426488286376777,19.687117770337483
38,ND,2024,16.614655095533827,16.262594146679618
39,OH,2010,5.577742056912866,
39,OH,2011,1.063655094126,
39,OH,2012,12.458305144935899,
39,OH,2013,0.8193343665649421,
39,OH,2014,0.29500120393319845,
39,OH,2015,2.6619381463720706,
39,OH,2016,6.334582810300082,
39,OH,2017,1.7845912302910278,
39,OH,2018,0.31021419532500166,
39,OH,2019,2.4233097725464563,2.4418879619666667
39,OH,2020,4.101430101540763,4.208608681690173
39,OH,2021,3.362822230464612,3.890111694334628
39,OH,2022,5.2655589721316005,5.0802819076850865
39,OH,2023,8.62958598848964,8.992832593264534
39,OH,2024,18.74799850009445,18.715145710678687
40,OK,2010,6.312314581705378,
40,OK,2011,60.938103506754494,
40,OK,2012,53.31324837091515,
40,OK,2013,45.35771876325385,
40,OK,2014,46.964127627851454,
40,OK,2015,21.223733813970583,
40,OK,2016,11.4790365750514,
40,OK,2017,19.858646844917185,
40,OK,2018,29.897169092968177,
40,OK,2019,4.68748603451989,5.018030335109784
40,OK,2020,12.274197051601512,12.045672935956759
40,OK,2021,16.08996461637431,15.365488915034973
40,OK,2022,58.48139556615417,57.243297594753784
40,OK,2023,34.77577515543267,35.36177218411491
40,OK,2024,18.80686206619453,18.803818305553964
41,OR,2010,10.072162447673438,
41,OR,2011,1.1495275750620026,
41,OR,2012,15.201855647770477,
41,OR,2013,26.08812608909829,
41,OR,2014,50.17045556398163,
41,OR,2015,61.34521273932447,
41,OR,2016,26.201159465728704,
41,OR,2017,5.112784782859881,
41,OR,2018,39.364137915215395,
41,OR,2019,16.88138338469936,17.84332311867934
41,OR,2020,43.011810607894844,41.7979448909141
41,OR,2021,63.78237968744482,62.63082944205368
41,OR,2022,53.76658663571108,53.52418147340101
41,OR,2023,31.12455457048889,31.36152048899357
41,OR,2024,16.517510419109364,16.76264829110239
42,PA,2010,5.509330177970823,
42,PA,2011,2.64266332563891,
42,PA,2012,4.3447108827677745,
42,PA,2013,3.8768564359110016,
42,PA,2014,1.9242793703171064,
42,PA,2015,5.986549069914765,
42,PA,2016,11.877156968730516,
42,PA,2017,5.436783607238975,
42,PA,2018,1.3046802962794428,
42,PA,2019,1.2443596039763896,1.3147242277036515
42,PA,2020,9.182920411311072,9.107363800301624
42,PA,2021,2.2659536504355806,2.759457373953505
42,PA,2022,3.758251374559739,4.096604271273779
42,PA,2023,7.151547340176876,7.306585624091075
42,PA,2024,11.139925333705541,10.758127187247208
44,RI,2010,1.849361441083341,
44,RI,2011,0.0,
44,RI,2012,11.181625889520822,
44,RI,2013,8.30219312828294,
44,RI,2014,14.017825233337406,
44,RI,2015,14.198797852111685,
44,RI,2016,24.752046514980123,
44,RI,2017,12.171052557821932,
44,RI,2018,2.3251042333326395,
44,RI,2019,1.3209562410006401,1.4030566222508618
44,RI,2020,22.821891186881324,22.399485788243833
44,RI,2021,3.002585603753477,3.337279457103942
44,RI,2022,20.125994805794736,19.643923402674062
44,RI,2023,2.365133592732355,2.649050602957051
44,RI,2024,8.7439409782123,8.077379164676858
45,SC,2010,10.082305457796089,
45,SC,2011,37.93382091458217,
45,SC,2012,40.07671059651376,
45,SC,2013,12.67431858106205,
45,SC,2014,3.4959790918846,
45,SC,2015,9.765008512241529,
45,SC,2016,10.965112937325006,
45,SC,2017,11.384022007975716,
45,SC,2018,8.670904129546557,
45,SC,2019,14.022575813978868,13.808753737008715
45,SC,2020,0.9460052389177085,1.161939234648306
45,SC,2021,7.7705206214542795,7.467715707327075
45,SC,2022,12.783597259306362,13.140265879956871
45,SC,2023,7.948161878249026,8.162998327682134
45,SC,2024,11.011383732296435,10.957888113849268
46,SD,2010,0.5179040160908419,
46,SD,2011,3.272735349789205,
46,SD,2012,40.37926986824376,
46,SD,2013,35.101396791686625,
46,SD,2014,3.8689408701856896,
46,SD,2015,9.737485853815153,
46,SD,2016,12.819252583129723,
46,SD,2017,25.240996784347974,
46,SD,2018,14.326572161182394,
46,SD,2019,0.10572194747940429,0.415529540763695
46,SD,2020,13.87662918875839,13.107608237485675
46,SD,2021,43.67306042203293,42.822994041734276
46,SD,2022,32.50497676811558,31.76137572307635
46,SD,2023,18.199673877747532,18.593795135593172
46,SD,2024,19.65758450629546,18.641809886606136
47,TN,2010,9.438472520959671,
47,TN,2011,7.949146074017658,
47,TN,2012,14.946946781528451,
47,TN,2013,0.587478348653493,
47,TN,2014,3.742945810193601,
47,TN,2015,3.94364438331222,
47,TN,2016,20.922134679840124,
47,TN,2017,6.039053872231874,
47,TN,2018,2.1287870632247925,
47,TN,2019,4.05364075612879,4.056708653257307
47,TN,2020,1.8641412509844513,1.813195840700801
47,TN,2021,2.989268318417111,3.438716135458613
47,TN,2022,10.980955229203628,10.995378579250788
47,TN,2023,15.426992257267207,14.48767510931336
47,TN,2024,20.9296413349933,21.24370640795543
48,TX,2010,8.432839829751527,
48,TX,2011,76.55931976687411,
48,TX,2012,50.27857697002465,
48,TX,2013,49.92847640564196,
48,TX,2014,38.93835692830878,
48,TX,2015,15.14607859425837,
48,TX,2016,4.271330985312796,
48,TX,2017,6.973615975337809,
48,TX,2018,24.348669605634427,
48,TX,2019,12.446846422903715,12.528199100640645
48,TX,2020,24.23183492621701,23.887118032858098
48,TX,2021,22.946992572290757,23.35005058066901
48,TX,2022,53.46159682675063,53.06218119100304
48,TX,2023,36.851442636024395,37.03378746172026
48,TX,2024,22.990705991007843,23.251855422811964
49,UT,2010,9.729321472119942,
49,UT,2011,1.0726851633300845,
49,UT,2012,46.36748050880782,
49,UT,2013,47.11326606846471,
49,UT,2014,34.64588745987735,
49,UT,2015,38.019012752218465,
49,UT,2016,16.77837020650497,
49,UT,2017,9.80577747430387,
49,UT,2018,56.90953753517271,
49,UT,2019,20.36747118198925,20.62606291550414
49,UT,2020,52.56049902486601,50.852603356682756
49,UT,2021,86.4427598037735,85.92942423697536
49,UT,2022,70.20236763513634,69.30008931454314
49,UT,2023,21.389688886466395,22.198651129561128
49,UT,2024,12.782756791247321,13.091938686545332
50,VT,2010,1.3802305573231202,
50,VT,2011,1.3402219565488722,
50,VT,2012,8.020773718112343,
50,VT,2013,3.9350621364100724,
50,VT,2014,1.3498933541556897,
50,VT,2015,7.107914191521065,
50,VT,2016,17.75379011975568,
50,VT,2017,8.870669610147063,
50,VT,2018,10.179966327998393,
50,VT,2019,1.9118899642362173,2.135443914284502
50,VT,2020,15.965237719699768,15.187563167014352
50,VT,2021,20.26740017274093,20.317984642776132
